GAME,SCORE
World of Warcraft,6315
Hades,55
Prison Architect,130
Fallout 4,1440
Dota 2,1425
Cyberpunk 2077,20
Counter-Strike: Global Offensive,650
Hunt: Showdown,280
Grand Theft Auto V,530
HUMANKIND™ - Lucy OpenDev,540
Stellaris,165
Hearthstone,350
Call of Duty®: Modern Warfare®,1085
Total War: THREE KINGDOMS,80
Stardew Valley,875
Parsec,85
Slay the Spire,45
Overwatch,440
Tom Clancy's Rainbow Six Siege,5
Rainbow Six Siege,115
League of Legends,1045
Factorio,1000
The Witcher 3: Wild Hunt,20
Call of Duty®: Black Ops Cold War,175
Business Tour - Online Multiplayer Board Game,25
Scrap Mechanic,85
Beat Saber,260
Minecraft,200
Bloons TD 6,445
The Sims 4,175
Tabletop Simulator,2175
SimCity™,55
ROBLOX,105
Borderlands 2,185
Crusader Kings III,275
Cities: Skylines,15
